Stage,N1,N2,N3,R,W
W,0.002025900648336483,0.009979557415976325,0.01171355587644056,2.224687916083924e-05,0.9762587391800857
W,2.90158196275357e-09,0.024423642771819798,0.10950051368826261,0.0001899210398244758,0.8658859195985111
N3,0.022629665001471472,0.0818853683578004,0.7496875233967508,0.00022653612552841834,0.14557090711844894
W,0.008276845851208843,0.11888112668369767,0.02332754183335283,0.0005157720289213804,0.8489987136028192
W,0.03565482372045853,0.2597570083894267,0.07319620642229158,0.04324808554239315,0.5881438759254299
W,0.009909968480305929,0.0634486010217303,0.06080684116391874,0.005219620796238941,0.8606149685378061
W,0.1325512293352536,0.17271264929839975,0.01325466198179207,0.026014960183161302,0.6554664992013932
W,0.0452223865262344,0.02315421216180819,0.0029222264245234767,0.03318452375773362,0.8955166511297002
W,0.07035429645396082,0.039163804415101915,0.0069106393995640725,0.06928877013710229,0.8142824895942709
W,0.05706552239486159,0.019662641664345212,0.015049185872325205,0.13045439865920944,0.7777682514092585
W,0.022214476601400485,0.010829513694268671,0.002176552723987714,0.024006585761255025,0.940772871219088
W,0.013626923605200866,0.018888202378959884,0.048230677270222136,0.1045728586331831,0.814681338112434
W,0.030042626901077986,0.023422322997999893,0.003766560318475127,0.19041392351710382,0.7523545662653432
W,0.12420056125338974,0.07242519839480432,0.01027438412066539,0.1971833879198383,0.5959164683113022
W,0.07362903273024068,0.14334823383055598,0.005939035893297939,0.14178703983673788,0.6352966577091675
W,0.040093618528286634,0.25681086985324986,0.003851931858316699,0.0880761513234036,0.6111674284367432
W,0.013322951984131488,0.09576162884364431,0.025098390989393322,0.015532215536175682,0.8502848126466552
W,0.04865500127878461,0.060733899410997126,0.0028260428289169615,0.03171378252458794,0.8560712739567135
W,0.07563164640230227,0.057876159266785715,0.002413070899277222,0.015361138304666629,0.8487179851269682
W,0.06172424360603551,0.12759625351251108,0.003352094489946202,0.014816265336526399,0.7925111430549808
N2,0.12942806582614869,0.42989853281764756,0.002959224517117996,0.05415795739799791,0.3835562194410879
W,0.015249566165468955,0.31457743399852633,0.03541343141594838,0.05507987518633362,0.5796796932337226
W,0.00043362124545577363,0.021987195363591058,0.05869162653674065,0.44459286984228114,0.47429468701193145
W,3.720779500613049e-10,0.02967606716796003,0.009012937072576058,0.22938968609833404,0.731921309289052
W,0.0024112053714663057,0.04657764663995931,0.017850162600028613,0.3623411354846584,0.5708198499038873
W,0.020026101916746503,0.1461429391443934,0.005885004950519741,0.3217309447498832,0.5062150092384571
N2,0.028595156159133474,0.39403794494200395,0.016274804968531197,0.32235105537924763,0.23874103855108372
N2,0.018132742009970643,0.7587611755093091,0.03133407623450841,0.06057257306697668,0.13119943317923508
W,5.947481702839215e-07,0.326557845075159,0.10543430949916606,0.09586988231098459,0.47213736836652015
W,0.04340181479816643,0.33593855131310785,0.009485715391254495,0.2604771312185694,0.35069678727890197
