Stage,N1,N2,N3,R,W
W,0.01685255426118443,0.013249274645548991,0.0003280177221047121,2.8522272397348685e-05,0.9695416310987645
W,0.028791307498248177,0.05900669753033996,0.0034208155603053787,0.00011820555714401766,0.9086629738539624
W,0.03347898776161945,0.05776909571912616,0.0015089321200870238,0.00019202615708724147,0.90705095824208
N2,0.013168768311165991,0.4646271624453543,0.2285325415156575,0.017975705584168073,0.2756958221436542
W,0.011190472859742782,0.08376573821522024,0.01727709129365639,0.08621605828005689,0.8015506393513238
W,0.018304819710535467,0.03453332924928245,0.01082009656202286,0.003381318026359621,0.9329604364517996
W,0.058483470839050825,0.04833841688007413,0.0005230397878734787,0.33993415437380853,0.5527209181191931
W,0.09870438716671155,0.24384135276945396,0.0011379506203972557,0.12233390411724661,0.5339824053261907
W,0.023638580179478903,0.059454044266927276,0.0004265346835038811,0.01145622005336113,0.9050246208167287
W,0.07342798506914074,0.2762629902834446,0.000519615663171554,0.10023491132346268,0.5495544976607804
W,0.03462376623428166,0.09297898143847012,0.0005274280222898573,0.09913161792733892,0.7727382063776195
W,0.010962549058756401,0.06235548643384609,0.0037466211597762156,0.16589863437239424,0.7570367089752271
N1,0.3752284379288402,0.22627807061190658,0.001468833022344287,0.16623472847432408,0.2307899299625849
W,0.1685721613543341,0.18019547470556355,0.0004450093381465267,0.21534825303171853,0.4354391015702373
W,0.1653443030092205,0.35107062387189114,0.0008015534186317142,0.11689315598345822,0.3658903637167984
W,0.10203040437520303,0.19021057698043659,0.0024411643315476552,0.04436326762623848,0.6609545866865743
W,0.03214397306812326,0.03239407177622585,1.1191320804178787e-06,0.0072679095613077,0.9281929264622627
W,0.06046469708493318,0.1443317948512544,0.0007621753613996207,0.021230896964959327,0.7732104357374534
W,0.011947893116029024,0.35625457771188407,0.02720556889287289,0.17101230628156447,0.4335796539976494
W,0.018036567619596214,0.37638048548577585,0.00526478636015102,0.005442710717121152,0.5948754498173559
W,0.06691823436570192,0.11621722704302026,0.0013608660517463126,0.02201388135483145,0.7934897911847001
W,0.0278949081630063,0.046396011882456484,0.0010787539533118522,0.013509382054664043,0.9111209439465614
W,0.018299482093079297,0.034337532920117965,0.0016999685599660857,0.008211303361647439,0.9374517130651892
W,0.03211226531295446,0.015491190368078686,0.00020307311114367322,0.03716131071436053,0.9150321604934627
W,0.0406296869418211,0.011558398339602228,0.00013390683643919933,0.06419244530146007,0.8834855625806773
W,0.08940697930326964,0.011575875783959957,9.966412150319913e-05,0.12960751609525867,0.7693099646960087
W,0.16434290672160295,0.021447713313064345,0.00016076942993008102,0.15691654238689595,0.6571320681485068
W,0.16088575799605886,0.0185969575802058,0.00013043070731763286,0.09836764491596947,0.7220192088004483
W,0.2386615489246571,0.03531632963545687,0.0003152993297088818,0.23578614384561192,0.4899206782645653
R,0.24644580959565193,0.08038932683698904,0.00021659170384253932,0.35993148441163497,0.3130167874518815
R,0.30624489600927524,0.06368258469558055,0.00033033255533216537,0.35433431044591,0.275407876293902
R,0.17541642807483723,0.02677220758637965,0.0003234403474932152,0.6481221869622801,0.1493657370290097
R,0.12682114911160844,0.08737475038946481,0.0015667418128987448,0.4965778921978715,0.2876594664881565
W,0.1839604368400958,0.15397427237202307,0.0003417137190769921,0.2890338656351306,0.37268971143367363
