Stage,N1,N2,N3,R,W
W,0.002626378060979944,0.0008452205235932133,9.257080365551088e-05,1.203247549055142e-05,0.9964237981362808
W,0.006735267523176601,0.04214023533110446,0.0003006590672606694,0.00017949491712633957,0.950644343161332
N1,1.0,1.4199884619444972e-29,8.409307922546103e-31,2.026861113536818e-31,6.767822444362542e-29
W,0.012244129970904476,0.04432503530076358,0.011029222031614647,0.006980005124859897,0.9254216075718573
W,0.05231632598150453,0.2948076292310942,0.10252965238574721,0.02032226037802676,0.5300241320236272
N2,0.16901092894497807,0.37971069661276696,0.07588710637177844,0.031102351051729656,0.34428891701874687
W,0.09184619157539443,0.14853949071088823,0.011585092998889757,0.014347288703027995,0.7336819360117995
N2,0.057571730481338644,0.5848773923933529,2.16934074117868e-19,0.05708008191660571,0.30047079520870285
N2,0.14438217868613532,0.6522908440744886,0.0016636269766680135,0.07605830354545953,0.12560504671724843
N2,0.09357152339652389,0.6736560078405235,0.008951013749988829,0.030668329501450327,0.19315312551151365
W,0.15577005116253453,0.04996430659982471,1.9069089638254923e-16,0.0031853539372140634,0.7910802883004265
W,0.01507256186434252,0.10490402469237095,0.10628590028136727,0.05299290643779035,0.720744606724129
W,0.10049720254341893,0.05315291712386953,0.0002006024120529332,0.23341314730608217,0.6127361306145764
R,0.18290763592625142,0.09133022582978993,0.00039795011490684803,0.4770928170366954,0.24827137109235636
R,0.08129300630232483,0.17996554739271511,0.0004067404618271504,0.6006101563687967,0.1377245494743363
R,0.0539052947302153,0.18861668010069954,0.0005223973060189988,0.5972376348440667,0.15971799301899947
R,0.02156744549569251,0.2358256553152908,0.0009973659059537498,0.5067925321439251,0.23481700113913795
N2,0.013616279680657444,0.4641107439222475,0.0017849695781581062,0.43311553721638574,0.08737246960255124
R,0.01077103609767435,0.307976306467244,0.0020291498467854413,0.547220961439225,0.13200254614907114
R,0.010766269329211592,0.09105793913701035,0.0008677838027594278,0.8327262633751434,0.06458174435587516
N2,0.004552360328953477,0.5521022950725851,0.0044328696425775796,0.4123046359925116,0.026607838963372214
N2,0.008892637336449969,0.4991598326094913,0.006604193012795026,0.2531582690671525,0.23218506797411131
N2,0.007364679987098732,0.6980289660310971,0.0024713795862073484,0.1322577827432272,0.15987719165236958
N2,0.007167487404042679,0.8773848107312886,0.010966194892541229,0.019488040588986594,0.084993466383141
N2,0.00906140882308519,0.923822442945422,0.013100685448306972,0.016919327514156045,0.03709613526902971
N2,0.006536561164978216,0.9395457602661944,0.006071625316952741,0.0279595764026661,0.019886476849208516
N2,0.00794662215503057,0.8465666247878527,0.00682751428736703,0.10245428016498416,0.03620495860476552
N2,0.0036260209884749657,0.953413315845864,0.0019189097765071733,0.025523677388570358,0.015518076000583535
N2,0.005983644186745773,0.9262337853534811,0.009252254693679025,0.03436224759371562,0.024168068172378352
N2,0.05172149051334346,0.6312362550694937,0.05911555298869515,0.0583294394043087,0.19959726202415895
N2,0.2128661874617179,0.6336351663236978,0.0008699915668861579,0.07353045285047699,0.0790982017972213
N2,0.18621204867554816,0.6321138367048561,0.0021603323509899242,0.12644175814193892,0.05307202412666693
N2,0.20117464194583196,0.6376599300349589,0.0026398113110965844,0.12617599106651176,0.03234962564160075
N2,0.23411486800339656,0.6034331257512301,0.001301005556121556,0.14286215722520287,0.018288843464048816
N2,0.04887831903175016,0.896790543305438,0.0011599798225582017,0.0406530403832961,0.012518117456957589
N2,0.02416548784162753,0.9258309166236633,0.0038102903367230228,0.023260260948531064,0.022933044249455043
N2,0.1047717762006615,0.6454060587145528,0.0011268697818069317,0.18201910467430427,0.06667619062867444
N2,0.022455033096990238,0.8902242610942162,0.003013851488372495,0.04265520991354347,0.0416516444068778
W,0.022601071675601197,0.09706362295044363,0.007117844460868583,0.08156370655758158,0.791653754355505
W,0.0056131321850588535,0.011596740775329187,0.0015095097071186345,0.03308812986082292,0.9481924874716703
W,0.012964222686392812,0.08170876600058483,0.018621971901183754,0.013881123852003205,0.8728239155598355
N1,0.46118786891752056,0.10846675844386063,0.00021029867198588492,0.018679776811492448,0.4114552971551407
N2,0.3041693022407568,0.41518714553246205,0.0023389469101834214,0.06222812626471374,0.21607647905188399
N2,0.20054272286815927,0.5548893475443666,0.013065994822774814,0.03298006998835005,0.19852186477634914
N2,0.09294625439985033,0.8623755096682687,0.01206272316004201,0.006170344698678468,0.026445168073160538
N2,0.14682899000690947,0.7835298765345108,0.009291453222921076,0.028394495413734618,0.03195518482192406
N2,0.005159933195409031,0.9711382619962775,0.008119349937578896,0.0009746694341877204,0.014607785436546866
N2,0.036621235614451575,0.8533569999269518,0.01142300695804313,0.023921714723019967,0.07467704277753354
N2,0.0251275100523895,0.9287020713648303,0.006082990415118854,0.014644997861565789,0.02544243030609566
N2,0.025240519463425547,0.9370339725579026,0.007928270987619774,0.0034820305428864503,0.02631520644816552
N2,0.036706244817910745,0.9323495314096304,0.010390194653623133,0.003425124700125169,0.017128904418710515
N2,0.14596667654179393,0.7755246911707092,0.001355714093952575,0.029744936888775955,0.04740798130476829
N2,0.05327435872092505,0.8687588764865362,0.0016090553166257704,0.03943288773614826,0.03692482173976471
N2,0.07039781056035894,0.7552865691191353,0.0006425494687578691,0.13777786893557661,0.03589520191617135
N2,0.012768665473131453,0.9457664828300701,0.006263847155780403,0.024047803983881982,0.011153200557135807
N2,0.016346285071163605,0.9633184185318672,0.0036522899003834544,0.006966947394532024,0.009716059102053861
N2,0.017310698581203047,0.9372520885748512,0.009500157895669088,0.011718814303830481,0.024218240644446106
N2,0.03453095270232838,0.9219139862937112,0.005335182369283379,0.016603272441569065,0.021616606193107627
N2,0.017020390232605848,0.9606146633896546,0.004628719845881929,0.006574401823499334,0.011161824708358054
N2,0.010864737933130211,0.9678675930637685,0.008160851873936163,0.005575053874499794,0.007531763254665215
N2,0.013273247482434428,0.9231813368524541,0.025878597011972242,0.0013360499236539417,0.036330768729485076
W,0.014923923863849164,0.07341520866923647,0.017578779766555874,0.01043081130342402,0.8836512763969345
W,0.0006862858920612143,0.011715284308492007,0.007991688503842015,0.0012920459716104522,0.9783146953239942
W,0.08568611237266113,0.0746048207074697,0.0049615889744649274,0.005121020186037019,0.8296264577593672
N2,0.27135270997732513,0.43705879726550584,0.0033253847092369593,0.016061030042909534,0.2722020780050226
W,0.2582565829918959,0.25796750064400015,0.0019479708905543193,0.07515542120289555,0.406672524270654
N2,0.06268389891202293,0.6577144260040948,0.018753111869294414,0.006029092884072148,0.25481947033051566
N2,0.2506685023310592,0.6750776688290178,0.0028991407511126206,0.011679069728956744,0.05967561835985355
N2,0.10354603374562352,0.7880665302235756,0.005398605465921488,0.015205118383377566,0.0877837121815019
