Stage,N1,N2,N3,R,W
W,0.057562391382650104,0.03114630320947485,0.0001379980861591489,0.007507449791364997,0.9036458575303509
W,0.008548024027168217,0.007643655934999692,0.00020783101240548572,0.0021013117812072276,0.9814991772442194
R,0.011552094897275392,0.02394703039492738,0.006471373630386078,0.7219194475895585,0.23611005348785258
W,0.082626918308924,0.011863400877641485,0.0004942239357772814,0.001009948386661909,0.9040055084909953
W,0.003204525966988243,0.01739833590311406,0.06910662029271146,0.19447099725979544,0.7158195205773908
W,0.0515461163325309,0.031723827759274015,0.0037579894212123746,0.0013795511210986473,0.911592515365884
W,0.01369103026203616,0.016586108950396267,0.000714660304136415,0.005182166131134865,0.9638260343522963
W,0.04710274760228246,0.03291205487331555,0.004677646286772404,0.005849887153654147,0.9094576640839755
W,0.007891292020727633,0.004953878704769025,0.0022700901916289993,0.015428722156062304,0.9694560169268119
W,0.03618130792804157,0.030277582044455163,8.410870205049185e-05,0.013944185679830398,0.9195128156456224
W,0.01642122118732771,0.0246281547046649,0.0044953867276613674,0.005601200025255653,0.9488540373550904
W,0.018445142171595028,0.017889258215186107,0.0010963127717105701,0.007418720359503334,0.9551505664820049
W,0.01570688435792067,0.02161127658366052,0.0028040444411623656,0.013651416077849983,0.9462263785394065
W,0.05124257085950441,0.05596658887868302,0.0007747538235227416,0.03896517366752581,0.853050912770764
W,0.0036320392935781007,0.0033557493712636564,0.004487498575250583,0.23879499649073685,0.7497297162691707
W,0.0577941998642162,0.008368772702259334,0.00014962318205480633,0.029817373711077746,0.9038700305403919
W,0.04105834857622335,0.007423709514228109,0.0002596099160182419,0.003275337680928839,0.9479829943126015
R,0.002419524938275833,0.0011837110555617267,0.011738761243848221,0.8267658341752284,0.1578921685870859
W,0.040892703549100184,0.01475847477955227,0.0013000424470568897,0.02754279193769005,0.9155059872866005
W,0.028557245410416827,0.006449506703129009,0.0010052386403484475,0.031694891761003235,0.9322931174851024
W,0.04806320207429508,0.005172659096559536,0.0011408905919837234,0.009933212362766189,0.9356900358743955
W,0.020622300337574197,0.00594548213528228,0.0028259879607467823,0.005715815648053171,0.9648904139183436
W,0.016320546127929124,0.010119080667450795,0.0032671425605229876,0.0021191868102695354,0.9681740438338275
W,0.010357872596165826,0.005509044905608355,0.0009852400412348299,0.001298821374819306,0.9818490210821716
W,0.02286893004985196,0.006766750457551657,0.0009338865092574415,0.004460240373385425,0.9649701926099535
