Stage,N1,N2,N3,R,W
W,0.0027246951165055123,0.0017038501187655972,0.0001362961006134572,0.0010946704982239847,0.9943404881658914
W,0.01402655487922227,0.0028044168039030085,0.0005211677918973732,0.00020438170198766706,0.9824434788229898
W,0.03006146463157709,0.02092618687049587,0.009092081586882012,0.0009961893178522167,0.9389240775931929
W,0.04449550007601919,0.07729176589979797,0.011865055424480842,0.055963252070847555,0.8103844265288545
W,0.23158398163723448,0.22744600608031063,0.018656655563706007,0.1359188083276957,0.38639454839105314
W,0.17976580857887833,0.22729434033873663,0.005502671051420691,0.2891506306198938,0.2982865494110704
W,1.465538964203881e-54,8.84421168779637e-06,7.068872766758002e-07,0.00016388124796522734,0.9998265676530703
W,0.14059554649748776,0.07280806595837706,0.00028251933732332927,0.03167985186096756,0.7546340163458443
W,0.2806222786589435,0.10764780665371662,0.012112900623084424,0.005205974043105832,0.5944110400211496
W,0.2479928852891416,0.06754161468809095,0.0019788973444848307,0.006784987050360256,0.6757016156279224
R,0.07742119348718986,0.12454763531628697,0.00861583039823445,0.559675617589099,0.2297397232091897
W,0.16162144662463274,0.03495613674078855,0.0006938189262966779,0.0030362741141194706,0.7996923235941625
W,0.017225421320832525,0.015436894072015577,0.00488460221759615,0.0006894375978716844,0.961763644791684
R,0.033364140745911576,0.12556612033891384,0.036053567541284394,0.5697835107023076,0.2352326606715826
R,0.0725802792214434,0.1227236683370091,0.06360965731870742,0.47788765079526596,0.26319874432757423
W,0.12625992170148373,0.052013223737330895,0.0005239665904817731,0.0022506794617377143,0.8189522085089659
W,0.039558767731365366,0.02941426240611486,0.0013929347671190547,0.002467613090675736,0.927166422004725
W,0.04864052927643566,0.06154958039476318,0.010953730421432531,0.005264508140306648,0.873591651767062
W,0.043461428425443524,0.19144572253382108,0.0442670965155279,0.009741554492045789,0.7110841980331617
W,0.23983977224629013,0.24589219190909223,0.00662056531814064,0.04357515924169609,0.464072311284781
R,0.14165304537061096,0.24323491469196248,0.04006409435818634,0.340920864363989,0.2341270812152511
W,0.15303659706363779,0.0688323999927997,0.019153054492716103,0.10471998726165477,0.6542579611891917
N1,0.39767664044803575,0.3017628070448481,0.026491005659558524,0.1668305190380223,0.10723902780953552
N1,0.3136919592828896,0.2777809263802079,0.005031544872454448,0.30982137743525073,0.09367419202919729
N2,0.08673943103597104,0.4519816095410649,0.009157822416415813,0.39074047362267256,0.0613806633838756
N2,0.28934824880158666,0.3551272906384164,0.0070508278391669,0.3244242445706991,0.02404938815013072
N2,0.06682896388489146,0.7942100576840219,0.03693316526613523,0.06511106157263911,0.036916751592312384
R,0.15222516745874803,0.24576920827095,0.0034324219433300527,0.5449404133238943,0.05363278900307759
N2,0.12943027157320783,0.5383714929935494,0.02423675479475226,0.2618749874684339,0.04608649317005666
N2,0.08432390960496777,0.5138750912980128,0.015736776161640903,0.2905465303004451,0.09551769263493355
N2,0.09753890287774665,0.5266038596012319,0.01284892694528884,0.3375063585131547,0.02550195206257787
N2,0.03414748164731757,0.6948246440194823,0.02576829287668974,0.08509341012637973,0.16016617133013067
N2,0.054502796508256963,0.6665894897033774,0.008133478464992357,0.1431668169677849,0.1276074183555884
N2,0.0391209606557938,0.8168405768521186,0.00802155827979446,0.09928923688530465,0.03672766732698848
N2,0.07234835018565362,0.7167000064960471,0.00750404398674885,0.1463925045566092,0.0570550947749411
N2,0.031977043351149995,0.8280139443529342,0.013817273941489891,0.09947818479775353,0.026713553556672546
N2,0.032460617052002254,0.8718287587268451,0.004840043974840414,0.06514857438859717,0.025722005857715082
N2,0.060207720863451865,0.8414419367772028,0.008537548932564363,0.07505428110869063,0.014758512318090356
N2,0.131614606340363,0.7717144423764372,0.012094160462750978,0.05132460573086511,0.03325218508958378
N3,0.023693551959491375,0.3180187161285364,0.5332290384582334,0.008098615769605615,0.11696007768413318
N2,0.041487568916437435,0.5955410191327736,0.3237683553724677,0.006842308039978703,0.03236074853834265
N2,0.3809305133361523,0.5677615517974398,0.002956928740902487,0.013009278587409866,0.03534172753809563
N2,0.42994656120373403,0.4670392438207248,0.005612014634341408,0.016679995886057092,0.08072218445514266
N2,0.0174550057690156,0.9504850442846905,0.006074276982514619,0.016026142307909337,0.009959530655869695
N2,0.024525928644044664,0.9046976849715699,0.017377917983116987,0.03932164587988704,0.014076822521381469
N2,0.05522220555579745,0.8387643363366138,0.005126904513223563,0.07711356673292824,0.02377298686143697
N2,0.030298003920765756,0.8948474325407754,0.014122164502305981,0.03896264514987411,0.021769753886278977
N2,0.05474797349395108,0.8610031450007658,0.012031331726946223,0.044353846883872144,0.027863702894464652
N2,0.03550843485680659,0.8574048544880675,0.06056444221793998,0.027005411804606465,0.0195168566325794
N2,0.0078197619730427,0.9454079895643802,0.01140303172433905,0.021644775896874614,0.013724440841363279
N2,0.019844470324933625,0.9198729813741708,0.022187406827806042,0.018071935840436835,0.020023205632652582
N2,0.01914964852382925,0.9270420376368594,0.012197659675850445,0.022658202190382407,0.01895245197307848
N2,0.06169075867217941,0.757812123088091,0.11124917238873736,0.046571413585454566,0.022676532265537664
N2,0.010859894121228333,0.9209713803253711,0.03555099509871978,0.01458118184612851,0.018036548608552326
N2,0.013236477312089696,0.9179610266215741,0.018752356756581545,0.03152852659202011,0.01852161271773476
N2,0.04191638733016682,0.8834391658014508,0.01429223998365342,0.04506416685864689,0.015288040026082025
N2,0.021520663215075394,0.9074321681983437,0.03478906789609228,0.019712877369731943,0.01654522332075668
N2,0.002841554516089059,0.8525175470683706,0.12030738824784125,0.013228843850651926,0.011104666317047165
N2,0.023069749887754183,0.8637952029095854,0.007660433470751883,0.08850837285974415,0.016966240872164463
N2,0.004656916257377234,0.9185484285856107,0.02487201068175639,0.03601243988666983,0.015910204588585865
N2,0.016990105573366127,0.8176571464431913,0.05545556860408186,0.060704927293942744,0.04919225208541811
N2,0.09249812887895957,0.5937691160223206,0.0025269704651929735,0.24289688062667833,0.06830890400684834
N2,0.05918855508697359,0.6437768073394254,0.0033138825056773075,0.24419932028990307,0.04952143477802058
N2,0.029352986881545393,0.8275275177412906,0.005373311489432477,0.09733172409300357,0.0404144597947279
N2,0.047024603240177515,0.8082420765529805,0.006084256658537868,0.10262802377477223,0.03602103977353194
N2,0.012840365458973414,0.8444003870271899,0.02444275515437704,0.09312651526328707,0.025189977096172506
N2,0.08993467891397401,0.48105869381203054,0.0008846361745137218,0.2979517862089185,0.13017020489056333
N2,0.06172532586108391,0.588875842703873,0.0036594138778632194,0.21985376679364257,0.1258856507635372
N2,0.045847799454132816,0.7828395300236165,0.0013657378765284864,0.13352324953637218,0.03642368310935016
N2,0.03723590198375035,0.7135653315181475,0.0025182492720602755,0.19919467605616925,0.04748584116987261
N2,0.051694271122915074,0.7355831416784905,0.0023119582092909533,0.15848305407459085,0.05192757491471257
N2,0.0358564739296979,0.5566970891733285,0.005218364445223147,0.3110543899178364,0.09117368253391406
R,0.029539370920149653,0.37622147030882575,0.002715994946804493,0.5420752364957659,0.04944792732845421
R,0.04083736381611856,0.2894927816743236,0.0013447173777445594,0.6010889563397526,0.06723618079206065
N2,0.2278992900588953,0.34610248303918534,0.0008862563441199762,0.2995508109355246,0.12556115962227485
R,0.2627481279101628,0.30612479478517923,0.00256825222341203,0.3117623415237814,0.11679648355746443
R,0.24915587035919273,0.29944294623119966,0.002110827770066723,0.37011312246882594,0.07917723317071494
N1,0.40904549240593485,0.2451367659218756,0.001979868357000453,0.20027355228930643,0.14356432102588265
R,0.2072464587132089,0.27789626541437124,0.003860509410177108,0.4483194051243147,0.06267736133792817
R,0.16855244711234088,0.18123690156194838,0.0013918197080719835,0.5252075862217874,0.12361124539585132
R,0.20891307031678624,0.16870421562921806,0.000538810377270596,0.45462166430982043,0.16722223936690475
R,0.2593545763172502,0.17650269747689484,0.0006331326457881166,0.45277015748781174,0.11073943607225509
R,0.2474799891575054,0.14357169272433684,0.0009638807986183582,0.538112733560734,0.0698717037588055
N2,0.14734904141299301,0.3631975685183894,0.0017249795808410178,0.24881979137757643,0.23890861911020006
N1,0.3216652232261443,0.17281241728131372,0.0005307139721898684,0.22673615895561042,0.27825548656474164
N1,0.3106332890392969,0.1421241659877074,0.00088579833956342,0.26552000772113843,0.28083673891229394
N1,0.41343402045248867,0.1131968499970604,0.0003497001094604466,0.35297854921349286,0.1200408802274976
N1,0.3664746894937031,0.1540993960575067,0.0004053397800934008,0.32902399213577416,0.14999658253292286
N1,0.35154872206506155,0.13370347540260022,0.0005463721530739416,0.341201268811263,0.17300016156800124
W,0.19682525332198766,0.0595464719496481,0.00027529258465257517,0.15939096064023295,0.5839620215034788
W,0.27641809692871877,0.11887889366008046,0.0013842733711671958,0.2967184682515514,0.3066002677884822
N2,0.09120298618710641,0.47815785071467987,0.0048078999980792885,0.2305673289247337,0.1952639341754007
N1,0.34845156553769074,0.18511798557409748,0.0002059944063940061,0.30415078351684627,0.16207367096497155
N1,0.2701854741862816,0.23165547244538207,0.0005246332711470819,0.2664849808419773,0.2311494392552119
R,0.19939553996641585,0.09002457440063072,0.0002312435015528552,0.6150410002777402,0.09530764185366039
R,0.18969665471816427,0.1520730509711875,0.0006952889866566246,0.5958372088749763,0.061697796449015324
R,0.10299800446217543,0.233697706640199,0.00045660468712797094,0.3740045561960179,0.28884312801447976
R,0.12315862153330466,0.30733325588767185,0.0027152443573025065,0.4077644561382012,0.15902842208351978
R,0.14757423221167035,0.24157760860700117,0.0008807837779559494,0.5681102181099972,0.0418571572933753
R,0.25299098255826874,0.2843041570256135,0.0006254569071017112,0.34386185651380446,0.11821754699521148
R,0.20454017557138496,0.200673141168224,0.0011309752102835152,0.5532986775696715,0.040357030480436
R,0.14290309833505455,0.24998346615967557,0.0017112464986255313,0.5214661780067802,0.08393601099986417
N2,0.15315343846303311,0.4557997890236543,0.0023156182635726288,0.29305486149408083,0.0956762927556591
R,0.1303052132421829,0.19788062381156288,0.00035122542913064187,0.5859024647857003,0.08556047273142331
N2,0.11496826386762415,0.4131718931564401,0.0002856714200596437,0.3748845315334943,0.0966896400223817
N2,0.06458359748665057,0.5591187582816818,0.0023407634745581424,0.2902981900948559,0.08365869066225361
R,0.14652983865085914,0.387470348916558,0.0005575597689433998,0.4357308998330624,0.029711352830577197
N2,0.031516926267337576,0.746721699493725,0.0003492780076184466,0.20615560077211612,0.015256495459202867
N2,0.07176701801347789,0.6052602742970546,0.0006733128949775567,0.29141771667973576,0.030881678114754042
N2,0.04473697882955145,0.8303300597472425,0.0003706715902819454,0.09053190658832636,0.034030383244597645
N2,0.05557069096709423,0.8672669405916275,0.002104141394385168,0.04913979558401113,0.025918431462882162
N2,0.03968042100731793,0.9119620245862867,0.003302505090467378,0.019063789235610508,0.025991260080317515
N2,0.03785316368237745,0.9332004200796719,0.00229055033730258,0.007926749740998426,0.018729116159649995
N2,0.03429560960400385,0.9388913784673266,0.005432579900755513,0.0042191228116371954,0.01716130921627678
N2,0.016506483628562652,0.9471098011158089,0.015201380921222809,0.005767999544025439,0.015414334790380176
N2,0.014111550473047123,0.9429945532774273,0.0199870405424033,0.01028381703012899,0.012623038676993574
N2,0.004132964548488171,0.6726779728997099,0.2907417609497072,0.004554928405694393,0.027892373196400227
N2,0.008209675542711094,0.9206393671468929,0.045543686713427074,0.00801434450015027,0.01759292609681881
N2,0.009761408108961006,0.9439041853484577,0.014931014235761042,0.005427259006953784,0.025976133299866522
N2,0.003920264343742899,0.6178679515757788,0.3583555213785056,0.0025032090829024576,0.017353053619070122
N2,0.0022587862008588092,0.5499821386643643,0.43932763657465923,0.0013763041438378453,0.007055134416279794
N2,0.0011334228373679515,0.5130808848327476,0.4766662500898822,0.001545638939658448,0.007573803300343658
N3,0.0007280003606194593,0.2607393901259328,0.7344904428706346,0.0007902551181885759,0.0032519115246246724
N3,0.025111806343356514,0.21014048148137665,0.7336873389657648,0.0008421595468701569,0.030218213662632
N3,0.028281399861862965,0.277681083612174,0.6789498644385955,0.0042352631366718504,0.010852388950695641
N2,0.10137319536408652,0.8091622805093435,0.026876331900499068,0.005416847636021948,0.057171344590048974
N2,0.030962060491517753,0.901092847367897,0.05291313352473853,0.001359506731809562,0.013672451884037122
N2,0.021898620084101723,0.920782276626937,0.031270757757717225,0.0047294131632276614,0.02131893236801622
N2,0.08053031986521987,0.8194080250042003,0.02544514509534124,0.001707131359019612,0.07290937867621908
N2,0.0238455323712002,0.918077164446071,0.018192753692298082,0.0028785910855281516,0.03700595840490261
N2,0.04508052259742868,0.9090993656348624,0.013637303138447075,0.0003113931946191393,0.03187141543464291
N2,0.023246393081078644,0.8681939730586107,0.030424017672886536,0.0009735681457174446,0.07716204804170683
N2,0.025931740047131755,0.8417770825229681,0.010446448294442386,0.0014732374454265382,0.12037149169003124
N2,0.02727865645280526,0.8899191359021725,0.0032942792234975024,0.004217591885282119,0.07529033653624259
N2,0.025217763645181607,0.8442956910474085,0.00755749900896831,0.001682863991297058,0.12124618230714465
N2,0.024255835556169635,0.749158501643073,0.018492692148898742,0.002777715602164204,0.20531525504969433
N2,0.06529856353303665,0.7449136279438736,0.0245482438104552,0.010014227539317529,0.15522533717331705
N2,0.08343090331299381,0.8652687313915961,0.0007343905488094408,0.004168589069641448,0.04639738567695921
N2,0.036878885135226525,0.9207268936461348,0.010704096902384783,0.0018568253522762918,0.02983329896397752
N2,0.00711983112602881,0.9401085884081289,0.0280108651929985,0.0013789624533739686,0.02338175281946978
N2,0.004002443991102646,0.9606949168470539,0.019317491214066358,0.0010531995554894787,0.014931948392287698
N2,0.008390857720804076,0.9646493968753725,0.015730123744513692,0.0008508065581656115,0.010378815101144344
N2,0.0032674472338866667,0.9512164257271962,0.031373506720821794,0.00043008897935807935,0.013712531338737228
N2,0.01347242153767034,0.9397785090047958,0.017758429930864888,0.00040266215855574723,0.028587977368113485
N2,0.00412108043859936,0.6162504680213741,0.3604667240183734,0.00017268046202061202,0.018989047059632704
N2,0.009394173563234434,0.8754670796137202,0.0934750248256358,0.0006487738614877679,0.021014948135921935
N2,0.014680866261376262,0.9591720628568327,0.005636538949092893,0.0014490759299397129,0.019061456002758492
N2,0.011745445901866955,0.9157981618367592,0.050373483440851664,0.0006238445103086373,0.021459064310213338
N2,0.002671925551008656,0.7414379954251179,0.23333195496289982,0.000286128048778539,0.022271996012195264
N3,0.0012328858034226663,0.21567238285939422,0.7781949091525742,0.0001168066412160899,0.004783015543393046
N3,0.0008589395458629547,0.15928536810998978,0.8370129758325465,8.223788369710989e-05,0.0027604786279036065
N3,0.0004152597730327993,0.07569604167336667,0.9187076253389758,6.727369951390991e-05,0.005113799515110858
N3,0.0009036734598379518,0.13160615165930664,0.8329969023633879,0.00010511361935331468,0.034388158898114266
N3,0.0007163528508942839,0.044368326705522536,0.9205703175974064,2.6048678473044747e-05,0.03431895416770372
N3,0.0006997821411292586,0.030344600577939126,0.9368568401107107,4.154381853378755e-05,0.0320572333516871
N3,0.0019465849992727645,0.10610752665516734,0.7505841449799061,0.00017662953367871622,0.14118511383197513
N3,0.016004853518982322,0.04812378835027108,0.8501431875628218,7.912756515657173e-05,0.0856490430027681
N3,0.0006506649466861018,0.01657322257317405,0.9518039581396676,8.604413737360154e-05,0.03088611020309856
N3,0.0026603520841405924,0.061852081479607114,0.8965846617435513,0.00016957694630750564,0.03873332774639352
N3,0.0028869156186283125,0.02013701644794627,0.9405049062811996,9.580693451429669e-05,0.03637535471771162
N3,0.0018000848864080272,0.055278569608345,0.9227424471056686,0.00024000512723543552,0.019938893272342946
N3,0.002196314587937114,0.06393627357874562,0.9059871943467388,0.00025001280728925886,0.02763020467928913
N3,0.0031824241204365636,0.029686023839720927,0.933313177996239,0.0002772868320354798,0.033541087211567906
N3,0.009664757789980813,0.044484754859131455,0.6072378768380546,0.004596355612344719,0.3340162549004884
W,0.009460897118580926,0.07489819624549249,0.07721556061301835,0.005868488009977384,0.8325568580129308
W,0.06543292516112603,0.30088583434082866,0.15235286656628627,0.0035683032982651345,0.47776007063349385
N2,0.04761403377730785,0.41760344160165147,0.14548951461827225,0.00230586261548098,0.3869871473872875
N2,0.06990186360971049,0.7429467345900861,0.06948011211008785,0.0015381550037415254,0.11613313468637382
W,0.02458585382990418,0.2965414512437714,0.008424734383621534,0.004174862897501961,0.6662730976452009
N1,0.32930652194100096,0.32560641018283465,0.006440435660658115,0.02149865674004248,0.31714797547546386
N2,0.22642273562219897,0.4352198067012395,0.002024482442027372,0.0047439348586953345,0.3315890403758388
N2,0.26971121918438656,0.5083218376140434,0.0014811305408547824,0.004902974975631035,0.2155828376850842
N2,0.1076418046168563,0.7431796187273134,0.0034852818771278085,0.006676404632007616,0.13901689014669477
N2,0.14959697675556555,0.6380396224457318,0.0014839532919979268,0.019863531412244475,0.1910159160944604
N2,0.061549824814173086,0.8029941334146191,0.004245698494743225,0.03019540602796401,0.1010149372485006
N2,0.12325082074553675,0.6682453600913741,0.003654638170053835,0.0522450430153542,0.1526041379776812
N2,0.010478766530531912,0.9032605898260424,0.005218936414757635,0.011048255279832584,0.06999345194883558
N2,0.023523078523808447,0.893847488217419,0.004547007071640744,0.02339341900376087,0.05468900718337095
N2,0.014794740180444344,0.8506078463963667,0.02945635826894167,0.020087320885383193,0.08505373426886434
N2,0.01993604102229308,0.8700519829161466,0.006283386795447675,0.01819135386866142,0.08553723539745088
N2,0.03553427484800126,0.7054485549111315,0.049642519771500755,0.0223022832784217,0.18707236719094497
N2,0.009881617892745134,0.6716451680157497,0.18368048092285344,0.007524856341787487,0.12726787682686422
N2,0.007009737760662775,0.7386722970873866,0.11181680529837132,0.0068427328242647596,0.13565842702931444
N2,0.006004904830854575,0.5299921668489613,0.34287691214838045,0.005428778872429285,0.1156972372993743
N2,0.004503842422676554,0.8210241514026668,0.12237891974954275,0.003095766215873239,0.04899732020924077
N2,0.0071051177765578954,0.5071300397323781,0.43055157633997787,0.0015084122442983584,0.05370485390678789
N2,0.0021739766335772464,0.5061280280170892,0.4498977051461199,0.0006374088657625331,0.04116288133745106
N2,0.0019355928050149625,0.5337895072420278,0.40820919933833905,0.0010888358683789582,0.05497686474623936
N2,0.00391533522935252,0.670042057880912,0.23014608127888317,0.0014622547698927243,0.09443427084095937
N3,0.0016388115924309346,0.16124651359763428,0.8149976179561353,0.001097719463448723,0.021019337390350827
N3,0.0013000460620727166,0.24100371049203947,0.7352251803832744,0.0006954089584559975,0.02177565410415744
N3,0.0006527317695962255,0.08060587524041796,0.9030294240808211,0.0004115139032056673,0.015300455005959097
N3,0.0009678017248148673,0.09523233939960592,0.8889633035772474,0.0001972797893486458,0.014639275508983324
N3,0.0018640439345330936,0.13849102730629936,0.8431705759648606,0.0002895095190992356,0.016184843275207726
N3,0.0007587326527297761,0.13082622751468664,0.8557493206888961,0.00030216674304772543,0.012363552400639856
N3,0.0009518918966801878,0.10078439290480087,0.8717559330878559,0.0003865456664553828,0.026121236444207812
N3,0.0012691409236289715,0.10579987013898648,0.866357997557873,0.0003595946704548975,0.026213396709056553
N3,0.003210610330594311,0.15119250503975895,0.8119668321023896,0.0008537176439385909,0.03277633488331876
N3,0.001024578881578188,0.05776384779567026,0.9186264433271462,0.0005764427192307043,0.022008687276374856
N3,0.000668200415484486,0.056239262643973574,0.925179283131498,0.0005851756386087407,0.01732807817043508
N3,0.0008806238475905175,0.08084443330732743,0.8923406507088273,0.0006542085888540225,0.025280083547400665
N3,0.0002491119896159924,0.030066032051391522,0.9593741676730944,0.00029848403530671167,0.010012204250591595
N3,0.0003453503606629524,0.03726341121655939,0.9502790842333226,0.00027982669296504835,0.011832327496489915
N3,0.0003187446872791617,0.04905196270217385,0.9356395756533757,0.00031271332075843424,0.014677003636412722
N3,0.00028660650847247876,0.06688034415502131,0.9229398815852609,0.0002755405608334227,0.009617627190412042
