Stage,N1,N2,N3,R,W
W,0.037316345831199665,0.005076125009613086,0.0007367997494062523,0.029312726647396828,0.9275580027623842
W,0.012653184615844932,0.00505182546625253,0.0017949411851647173,0.04104687200637562,0.9394531767263623
R,0.22026533968619239,0.01943055036316465,0.005392249048057301,0.44416288416088906,0.31074897674169655
W,1.7804841359034725e-09,0.017200388887944357,0.009104008998032785,0.20990467015508604,0.7637909301784527
W,0.00025157045790414744,0.0014816277787207755,0.009313985054649303,0.004723437143016878,0.9842293795657089
W,2.2619037787467804e-07,2.755955021503607e-07,3.6704144885507303e-07,6.626837367771449e-08,0.9999990649042974
W,0.008514323040847056,0.04609264137410493,0.32764004010891423,0.16055384233899075,0.45719915313714315
N3,0.0028767350536230032,0.037006837135151044,0.7003361406527069,0.005028368122238854,0.25475191903628014
W,0.1312731687264961,0.1235455990040536,8.335692054042428e-05,0.02674655854951709,0.7183513167993928
W,0.07235765892843514,0.0471749170567043,0.003428586260199069,0.00423366886207121,0.8728051688925902
W,0.005097575753566676,0.0326845241661927,0.10213261780046873,0.16241528762911422,0.6976699946506577
W,0.03774420415037353,0.1418915721939246,0.010696366024026575,0.015721049596079915,0.7939468080355954
W,0.02153610754795886,0.04438461248436397,0.0029736735549693756,0.018003220416975593,0.9131023859957321
W,0.07756251782295705,0.1148664991631263,0.002981395480958543,0.04082534386447256,0.7637642436684856
W,0.010542675473930698,0.05263638069924974,0.05072438799151024,0.015527993566835544,0.8705685622684739
W,0.0633753300763691,0.018252941404099512,0.0023563698390188814,0.06524630712017906,0.8507690515603334
N1,0.4743229712069507,0.20036654853849656,0.007863735589486769,0.17916839583390018,0.1382783488311658
N2,0.2991150714863149,0.3751475935536947,0.010133006929512675,0.1496114803929367,0.16599284763754105
R,0.15191258525942375,0.07337176853808416,0.0036673190075917693,0.7118402346836058,0.05920809251129457
R,0.09434899295443956,0.20937507986352613,0.023390222727593293,0.6445031384340044,0.028382566020436505
R,0.12903092925236906,0.23825879198935052,0.0223402446704783,0.5889986997686075,0.02137133431919453
R,0.10689816320377557,0.15943035081171655,0.012165423740861828,0.6971352094410689,0.02437085280257731
R,0.07751974849913687,0.40530636290266703,0.010111058536781434,0.48487403623269393,0.022188793828720733
R,0.0938167091538085,0.15109455047280185,0.006787582062673823,0.7183592122676373,0.029941946043078614
R,0.08974454495285691,0.31938065029927865,0.03248154864970497,0.5400783987800823,0.01831485731807724
N2,0.29430036008499155,0.3642688711161924,0.036172245045054015,0.2659339135800151,0.03932461017374691
N2,0.17450653247779108,0.5141507848301954,0.025266443290025167,0.25506079273817867,0.031015446663809787
N2,0.09362271127097294,0.8116483847598116,0.034677692300601116,0.0395178021923939,0.020533409476220274
N2,0.16703030845210773,0.6906855314332285,0.01306399676311928,0.09421420896430972,0.035005954387234875
N2,0.11254935578591957,0.7545143681147762,0.02595293254839087,0.061666328494889754,0.045317015056023605
N2,0.04848423803494925,0.8785204986245118,0.023608201360541547,0.021982057517340736,0.027405004462656757
N2,0.04584776271776172,0.8653178169912602,0.006729234386098121,0.03473506246738227,0.04737012343749773
N2,0.06591160332082537,0.8371325085962682,0.040727718715220525,0.03446652989587803,0.021761639471807703
N2,0.0980407121950167,0.7010698540433644,0.012137008646707767,0.07969306588194339,0.10905935923296786
N2,0.0477653228709848,0.8748232703331755,0.023032524049729122,0.0262197740296546,0.028159108716456018
N2,0.0607237209127033,0.8639356083101813,0.03411573179767144,0.020282933598963607,0.02094200538048031
N2,0.055403811603357125,0.8768941662835349,0.03298540668544057,0.019194795124418233,0.01552182030324927
N2,0.03278447092298093,0.8671968513711003,0.06817057742547658,0.017391161582035883,0.014456938698406491
N2,0.03162294018434858,0.8539139976887411,0.072389734139698,0.025705429659123896,0.01636789832808841
N2,0.04197802035121108,0.8530231006448667,0.058242857538459765,0.030832933669390456,0.01592308779607176
N2,0.036287235668502886,0.8552715661306914,0.07263079205242554,0.021311491657995084,0.014498914490385048
N2,0.012244896852351328,0.7901264065024907,0.16604070532352191,0.01313893808937091,0.018449053232265172
N2,0.0511468851235487,0.7667348900034677,0.1469254628360373,0.01700190894909978,0.018190853087846483
N2,0.05883447668974304,0.8252660833915973,0.0964963728835344,0.008527847486264431,0.010875219548860686
N2,0.017137870632764337,0.8138110206040515,0.14461325053796292,0.01326641944027296,0.011171438784948095
N2,0.0035676709826368952,0.8915672197822451,0.08536301713965234,0.009929520602664246,0.009572571492801591
N2,0.00618486142537708,0.8739292431518267,0.09201274785361797,0.00474038260139994,0.023132764967778
N2,0.006321739814101055,0.7831078822639079,0.1988188470854399,0.004213132140981635,0.007538398695569541
N2,0.010102615999485334,0.8984446598564712,0.072136128691268,0.002451323113527863,0.01686527233924784
N2,0.004353286235486583,0.8016848006050464,0.18012662585144437,0.0037510613635813195,0.010084225944441376
N2,0.006556787577431595,0.8034348475980826,0.18326795636927506,0.000907033344189741,0.005833375111021131
N2,0.00505330362538617,0.6004479962476367,0.38375373720971145,0.0017153830616699222,0.009029579855595845
N2,0.011802156517567572,0.7004712229373279,0.2757475444688839,0.003183281051640161,0.008795795024580333
N2,0.002861637065780627,0.6856652779661185,0.3040904566834093,0.0014486205704172964,0.005934007714274353
N3,0.0023334746454211513,0.4213466498379423,0.5707534279355143,0.0005769002765779948,0.004989547304544308
N3,0.0024670074455334693,0.36430192301066855,0.6292172199077056,0.0006565450224192583,0.003357304613673169
N2,0.005879247788815504,0.5189703139674974,0.39478927585005164,0.0011208433194591077,0.07924031907417639
